bod,zneni,stav_hodnoceni,souvisejici_temata,zdroj_id
1.1,"K hospodaření města Brna přistoupíme zodpovědně, zejména s ohledem na energetickou krizi.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
1.2,Finanční prostředky určené městským částem zůstanou zachovány v procentní výši stanovené Statutem města Brna k 31. 12. 2022.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
1.3,"Finanční prostředky alokované v dotačních titulech, s nimiž hospodaří jednotlivé odbory Magistrátu města Brna, zůstanou zachovány minimálně ve stejné výši jako v rozpočtu na rok 2022.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
1.4,Udržíme stávající objem finančních prostředků do budoucích investic. Pro zajištění prostředků na financování aktivit a investičních akcí města i jeho organizací budeme klást důraz na vícezdrojové financování.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
1.5,"Finanční příspěvky vložené investory do Fondu developerských projektů budeme i nadále v souladu se Zásadami pro spolupráci s investory na rozvoji veřejné infrastruktury statutárního města Brna využívat pro financování budování občanské vybavenosti, lokální dopravní infrastruktury nebo veřejných prostranství.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
1.6,"Pokusíme se zkrátit investiční proces v rámci jeho přípravy i realizace. V rámci koordinace staveb budeme intenzivně komunikovat s veřejností, abychom minimalizovali dopad na běžný život občanů i na fungování firem sídlících v lokalitách dotčených stavebními pracemi.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
1.7,Budeme pokračovat v projektové přípravě a zahájíme realizaci městské infrastruktury navazující na přestavbu železničního uzlu Brno pro zajištění dopravní obsluhy nového hlavního nádraží a dalších přestupních terminálů na území města.,Dílčí věcné posouzení; rozsah viz témata,nadrazi,f110c4cfd0c04385
1.8,"Zaměříme se na vybudování multifunkční haly, Janáčkova kulturního centra a Sportovně rekreačního areálu Anthropos. Budeme pokračovat ve stavbě protipovodňových opatření na brněnských řekách.",Dílčí věcné posouzení; rozsah viz témata,arena;jkc;anthropos,f110c4cfd0c04385
1.9,Zrealizujeme retenční nádrže Královky a Řečkovice.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
1.10,Zahájíme stavbu kolektoru na ulici Česká včetně rekonstrukce povrchu.,Dílčí věcné posouzení; rozsah viz témata,ceska,f110c4cfd0c04385
2.1,"Budeme inženýrsky i finančně podporovat dostavbu velkého městského okruhu (VMO). Ve spolupráci s Ředitelstvím silnic a dálnic dokončíme stavby VMO Tomkovo náměstí / Rokytova, VMO Žabovřeská a VMO Bauerova, zahájíme stavbu VMO tunel Vinohrady. Definujeme trasu jižní části VMO a stanovíme její parametry.",Dílčí věcné posouzení; rozsah viz témata,vmo,f110c4cfd0c04385
2.2,"Podpoříme obchvaty městských částí, na jejichž přípravě se budeme podílet majetkově i finančně.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
2.3,Budeme stavět parkovací domy v dopravně exponovaných lokalitách i v rezidentních oblastech s deficitem parkovacích ploch. Podpoříme vznik odstavných parkovišť na okraji města i mimo jeho katastrální hranice ve vazbě na veřejnou hromadnou dopravu.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
2.4,Zaměříme se na zvýšení bezpečnosti účastníků silničního provozu. Chceme toho dosáhnout rozšiřováním rezidentního parkování na základě požadavků městských částí spolu se snížením rychlosti v obytných oblastech na 30 km/hod.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
2.5,Pokusíme se dostat více obyvatel a návštěvníků Brna do městské hromadné dopravy (MHD) zvýšením jejího komfortu prostřednictvím pokračující obnovy vozového parku Dopravního podniku města Brna.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
2.6,"Budeme pokračovat v budování funkční sítě cyklistické infrastruktury zejména uvnitř města a páteřních cyklostezek z okrajových částí do vnitřního města. Podpoříme další opatření související s cyklodopravou, jako je vznik cykloboxů nebo zásobování centra města cargo koly.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
2.7,V rámci rekonstrukcí komunikací budeme postupovat citlivě a s respektem ke všem účastníkům provozu.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
2.8,Zahájíme stavbu prodloužení tramvajové tratě na sídliště Kamechy a připravíme nové trasování MHD do rozvojových lokalit města.,Dílčí věcné posouzení; rozsah viz témata,kamechy,f110c4cfd0c04385
2.9,Budeme pokračovat v přípravě projektu severojižního kolejového diametru.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
2.10,Zajistíme minimálně dvě nová letecká spojení z brněnského letiště.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
3.1,Ukončíme privatizaci bytových domů. Další bytové domy už nebudou do privatizačního procesu zařazovány.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
3.2,"Zachováme robustní bytový fond vlastněný městem a zrealizujeme výstavbu nových obecních bytů, čímž poskytneme jistotu stabilního bydlení občanům, kteří finančně nedosáhnou na vlastní bydlení.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
3.3,Zahájíme výstavbu minimálně 40 nových startovacích bytů pro mladé páry a zavedeme startovací byty i pro mladé singles domácnosti.,Dílčí věcné posouzení; rozsah viz témata,bydleni_pristup,f110c4cfd0c04385
3.4,Zahájíme výstavbu minimálně 150 nových obecních bytů.,Dílčí věcné posouzení; rozsah viz témata,bydleni_pristup,f110c4cfd0c04385
3.5,"Budeme pokračovat v projektu družstevního bydlení pro mladé jak v novostavbách, tak i formou rekonstrukce vybydlených bytových domů.",Dílčí věcné posouzení; rozsah viz témata,bydleni_kamenny,f110c4cfd0c04385
3.6,Provedeme reformu stávajících domů s pečovatelskou službou na koncept dostupného bydlení pro seniory.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
3.7,Budeme dbát o maximální transparentnost a předvídatelnost při pronajímání městských bytů.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
3.8,Zjednodušíme a sjednotíme podání žádosti o obecní byty v rámci Brna a zavedeme možnost on- line podání.,Dílčí věcné posouzení; rozsah viz témata,bydleni_pristup,f110c4cfd0c04385
4.1,"Budeme věnovat maximální pozornost procesu projednání a schválení nového územního plánu a změn platného územního plánu tak, aby byly schváleny hladce, konsensuálně a co nejrychleji.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
4.2,"Do konce volebního období chceme schválit nový Územní plán města Brna, který bude v souladu se stavebním zákonem, s jasným konceptem rozvoje města a s moderními urbanistickými pravidly s tím, že bude klást důraz na větší ochranu stabilizovaných ploch a pokyny schválené Zastupitelstvem města Brna.",Dílčí věcné posouzení; rozsah viz témata,uzemni_plan,f110c4cfd0c04385
4.3,Uděláme vše pro jednotnost výkladu nového územního plánu na území města Brna.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
4.4,"Budeme prosazovat udržitelný územní rozvoj, který zajistí dostupné bydlení, občanskou vybavenost v dostupné vzdálenosti od bydliště a nová pracovní místa. Důraz bude kladen také na veřejná prostranství bez bariér sloužící obyvatelům města a s dostatkem kvalitní zeleně.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
4.5,"Novou výstavbu budeme preferovat v rozvojových lokalitách brownfieldů a proluk uvnitř města, tak aby se zahustilo a zůstalo kompaktní v souladu se strategií Brno 2050 s cílem vytvořit moderní město krátkých vzdáleností přívětivé pro život.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
4.6,"Zahájíme přípravu dílčích etap protipovodňových opatření na řece Svratce, zahájíme přípravu dílčích etap na řece Svitavě, kde nesmí dojít k poškození soukromých zájmů, zejména v lokalitě Maloměřice a Obřany.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
4.7,Návrh výstavby významných městských objektů a rozvojových lokalit města budeme preferovat formou architektonických soutěží s cílem získání kvalitních hodnotných návrhů objektů a veřejných prostranství.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
4.8,Připravíme koncepční celoměstské územní studie (zejména sídelní zeleň a výškové zónování).,Samostatně nevyhodnoceno,,f110c4cfd0c04385
4.9,"Stabilizujeme fungování Kanceláře architekta města Brna coby garanta koncepčního, urbanisticko- architektonického názoru na rozvoj města a ochránce těchto hodnot.",Samostatně nevyhodnoceno,,f110c4cfd0c04385
4.10,"Vytvoříme a schválíme Brněnské stavební předpisy, které vytvoří rozvojové předpisy šité na míru města Brna, v rámci kompetencí nového stavebního zákona.",Dílčí věcné posouzení; rozsah viz témata,stavebni_predpisy,f110c4cfd0c04385
5.1,Budeme nadále podporovat soustavnou péči o kulturní památky a usilovat o posílení povědomí o jedinečnosti kulturního dědictví města.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
5.2,Budeme pokračovat v opravách památkových objektů v majetku města a v postupné regeneraci veřejných prostorů historického jádra.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
5.3,Budeme dál podporovat vlastníky poskytováním neinvestičních dotací z rozpočtu města na zachování a obnovu kulturních památek.,Samostatně nevyhodnoceno,,f110c4cfd0c04385
