nazev,url
Doprava Bydlení Záměr Brněnská třída (připravuje se aktualizace stránky) více informací,https://cobude.brno.cz/projekt/brnenska-trida/
Bydlení Příprava Bytová výstavba na Kamenném vrchu více informací,https://cobude.brno.cz/projekt/bytova-vystavba-kamenny-vrch/
Infrastruktura Realizace Dostavba kanalizační sítě v Brně více informací,https://cobude.brno.cz/projekt/dostavba-kanalizacni-site/
Kultura Realizace Janáčkovo kulturní centrum více informací,https://cobude.brno.cz/projekt/janackovo-kulturni-centrum/
Infrastruktura Realizace Kolektor Česká–Středova více informací,https://cobude.brno.cz/projekt/kolektor-ceska-stredova/
Kultura Příprava Kreativní centrum více informací,https://cobude.brno.cz/projekt/kreativni-centrum-brno/
Sport Realizace Modernizace Městského fotbalového stadionu Srbská více informací,https://cobude.brno.cz/projekt/modernizace-mestskeho-fotbaloveho-stadionu-srbska/
Doprava Příprava Nádraží a železniční uzel EUROPOINT BRNO více informací,https://cobude.brno.cz/projekt/europoint-nove-nadrazi/
Doprava Infrastruktura Bydlení Záměr Nová čtvrť Trnitá více informací,https://cobude.brno.cz/projekt/nova-ctvrt-trnita/
Infrastruktura Životní prostředí Realizace Odpadové hospodářství více informací,https://cobude.brno.cz/projekt/odpadove-hospodarstvi/
Doprava Realizace Prodloužení tramvajové tratě Bystrc–Kamechy více informací,https://cobude.brno.cz/projekt/tramvajova-trat-kamechy/
Infrastruktura Realizace Přechod z parovodů na horkovody více informací,https://cobude.brno.cz/projekt/prechod-na-horkovody/
Infrastruktura Životní prostředí Realizace Realizace protipovodňových opatření na území města Brna více informací,https://cobude.brno.cz/projekt/protipovodnova-opatreni/
Životní prostředí Příprava Revitalizace Holáseckých jezer více informací,https://cobude.brno.cz/projekt/revitalizace-holasecka-jezera/
Infrastruktura Životní prostředí Příprava Revitalizace Staré Ponávky více informací,https://cobude.brno.cz/projekt/revitalizace-stara-ponavka/
Zdraví a péče Příprava Sociálně-zdravotní komplex Červený kopec více informací,https://cobude.brno.cz/projekt/komplex-cerveny-kopec/
Sport Záměr Sportovní rekreační areál „Za Anthroposem“ více informací,https://cobude.brno.cz/projekt/rekreacni-areal-pisarky/
Kultura Sport Realizace T ARENA – Multifunkční sportovní a kulturní centrum více informací,https://cobude.brno.cz/projekt/multifunkcni-centrum-arena-brno/
Doprava Realizace Telematika více informací,https://cobude.brno.cz/projekt/telematika/
Infrastruktura Záměr Tepelný napaječ Dukovany–Brno více informací,https://cobude.brno.cz/projekt/tepelny-napajec-dukovany-brno/
Doprava Realizace Velký městský okruh více informací,https://cobude.brno.cz/projekt/velky-mestsky-okruh/
"Doprava Realizace Vozovna Pisárky (P+R, smyčka, lanovka) více informací",https://cobude.brno.cz/projekt/vozovna-pisarky-lanovka-kampus/
Doprava Příprava Vybudování parkovišť P+R více informací,https://cobude.brno.cz/projekt/parkoviste-pr/
Doprava Záměr Znovuzprovoznění tramvajové tratě do staré Líšně více informací,https://cobude.brno.cz/projekt/tramvajova-trat-stara-lisen/
Dokončeno Infrastruktura Životní prostředí Dokončeno Brněnské centrum pro materiálové využívání odpadů více informací,https://cobude.brno.cz/projekt/centrum-vyuzivani-odpadu/
Dokončeno Sport Dokončeno Městský plavecký stadion Lužánky.. více informací,https://cobude.brno.cz/projekt/plavecky-stadion-luzanky/
Dokončeno Doprava Dokončeno Nová tramvajová trať do kampusu více informací,https://cobude.brno.cz/projekt/tramvajova-trat-kampus/
Dokončeno Doprava Infrastruktura Dokončeno Rekonstrukce Mendlova náměstí více informací,https://cobude.brno.cz/projekt/rekonstrukce-mendlovo-namesti/
Dokončeno Sport Dokončeno Rozvoj sportovního areálu na ulici Vodova více informací,https://cobude.brno.cz/projekt/rozvoj-arealu-vodova/
Dokončeno Doprava Infrastruktura Dokončeno Soubor staveb Plotní více informací,https://cobude.brno.cz/projekt/soubor-staveb-plotni/
Dokončeno Kultura Dokončeno Vodojemy Žlutý kopec více informací,https://cobude.brno.cz/projekt/vodojemy-zluty-kopec/
