tema_id,tema,stav_k_uzaverce,posledni_dolozeny_milnik,zjisteni,gestori_k_provereni,body_programu,zdroje
arena,Multifunkční T ARENA,Stavba; otevření teprve avizováno,2026-09-10,"Stavba začala v září 2023; výběr stavební firmy proběhl už 5. října 2022 před ustavením nové rady. V roce 2026 pokračovalo vybavování, byla sjednána spolupráce s Kometou a na konec září byly ohlášeny první veřejné prohlídky. K 18. září nelze prohlídky ani plný provoz vykazovat jako uskutečněný výsledek. Úvěrovou a finanční dokumentaci podpořilo v červnu 2023 40 zastupitelů, 3 byli proti a 9 se zdrželo. Pro konečný účet je nutné zahrnout vybavení, související infrastrukturu, dotace i dluh společnosti; samotná vysoutěžená stavební cena není celkovým nákladem města.",Markéta Vaňková; René Černý; Petr Kratochvíl; ARENA BRNO,1.8;14.7,https://cobude.brno.cz/projekt/multifunkcni-centrum-arena-brno/ | https://cobude.brno.cz/t-arena-se-poprve-predstavi-verejnosti-na-konci-zari-nabidne-prohlidky-i-vikendovy-program/
jkc,Janáčkovo kulturní centrum,Výstavba; dosud bez dokončeného sálu,2026-07-17,"V období se podařilo přejít od soutěžení k realizaci. Smlouva se zhotovitelem byla podepsána v srpnu 2024; v roce 2026 pokračovala stavba a výběr dodavatele varhan. Archeologické nálezy vyvolaly další rozhodování o zachování torza středověkého domu. Výsledek období je rozestavěný koncertní sál, nikoliv dokončené centrum. Projekt navazuje na dlouhou přípravu a dřívější podzemní etapu.",Markéta Vaňková; René Černý,1.8,https://cobude.brno.cz/projekt/janackovo-kulturni-centrum/ | https://cobude.brno.cz/vyber-zhotovitele-varhan-pro-janackovo-kulturni-centrum-jde-do-finale-trojice-uchazecu-ma-zaslat-finalni-nabidky/
kamechy,Tramvaj na Kamechy,"Zahájeno, tunel proražen; provoz až později",2026-06-09,"Stavba prodloužení tratě začala v roce 2025. V červnu 2026 byl proražen tunel; DPMB uvádí délku tratě přibližně 1,4 km a tři nové zastávky. Zahájení provozu plánuje na konec roku 2027. To dokládá splnění části slibu zahájit stavbu, ale nelze tvrdit, že obyvatelé už nové spojení využívají. Realizátorem je DPMB, městská politická gesce sama neznamená výlučné autorství projektu.",Petr Kratochvíl; René Černý; DPMB,2.8,https://cobude.brno.cz/projekt/tramvajova-trat-kamechy/ | https://www.dpmb.cz/celkem-105-odstrelu-40-tisic-tun-vyvezeneho-materialu-tunel-tramvajove-trati-na-kamechy-je
vmo,Velký městský okruh,Dokončené úseky i další příprava,2025-04-15,"Tomkovo náměstí a Rokytova byly kompletně zprovozněny v prosinci 2024, na Žabovřeské skončily navazující práce na jaře 2025. Jde o výsledky spolupráce se státním ŘSD a o stavby zahájené před nynějším obdobím. Nelze je celé připsat jedné městské straně. Program zahrnoval také tunel Vinohrady a jižní trasu okruhu; dokončení zmíněných úseků samo neprokazuje splnění všech částí bodu 2.1.",Petr Kratochvíl; René Černý; ŘSD,2.1,https://cobude.brno.cz/projekt/velky-mestsky-okruh/ | https://cobude.brno.cz/rsd-kompletne-zprovoznilo-stavby-velkeho-mestskeho-okruhu-pres-tomkovo-namesti-po-rokytovu/ | https://cobude.brno.cz/prace-na-zabovreske-definitivne-konci-zlepseni-se-dockali-nejen-ridici/
kampus,Tramvaj do kampusu,Zprovozněno; převzatá stavba,2022-12-08,"Nová trať do bohunického kampusu vstoupila do provozu v prosinci 2022. Zprovoznění spadá do sledovaného období, příprava a podstatná část stavby však patří předchozímu vedení. Je to vhodný příklad rozdílu mezi datem otevření a politickým autorstvím.",Petr Kratochvíl; DPMB,,https://cobude.brno.cz/projekt/tramvajova-trat-kampus/ | https://cobude.brno.cz/novou-tramvaji-po-nove-trase-do-kampusu/
lanovka,Lanovka Pisárky–kampus,Povolení zrušeno; další příprava podmíněná studií,2025-04-25,"Městský soud v Praze v září 2024 zrušil stavební povolení. Město v dubnu 2025 oznámilo, že rozhodnutí o pokračování bude záviset na dopravní studii rozvojového území. Z doloženého stavu plyne odklad a právní překážka, nikoliv fungující dopravní spojení ani definitivní zánik záměru.",Petr Kratochvíl; René Černý; DPMB,,https://cobude.brno.cz/projekt/vozovna-pisarky-lanovka-kampus/ | https://cobude.brno.cz/dopravni-studie-v-budoucnu-napovi-zda-se-bude-pokracovat-v-projektu-lanovky-do-kampusu/
bydleni_kamenny,Družstevní bydlení Kamenný vrch II,Smlouva a financování schváleny; zahájení avizováno,2026-09-16,"Červencový podpis smlouvy se týká 353 bytů: 280 družstevních, 54 nájemních města a 19 nájemních pro Nový Lískovec. Plná červencová zpráva uvádí dokončení do roku 2030; rok 2029 se v témže textu vztahuje k jiným lokalitám, Mostecké a V Aleji. Zpráva ze 16. září potvrzuje schválení návrhu úvěrové smlouvy s ČSOB na 1,71 mld. Kč a avizuje zahájení stavby v následujícím týdnu. Město má při poklesu obsazenosti převzít úhradu měsíčních splátek, což je důležitý podmíněný závazek. Jde o smluvní a finanční posun, nikoli již předané byty. Jednotlivé kategorie bytů se nesmějí zaměňovat při kontrole číselných slibů.",Karin Podivinská Karasová; René Černý; Realitní společnost města Brna,3.5,https://cobude.brno.cz/projekt/bytova-vystavba-kamenny-vrch/ | https://cobude.brno.cz/zastupci-mesta-podepsali-smlouvu-se-zhotovitelem-353-bytu-na-kamennem-vrchu/ | https://bydleni.brno.cz/news-bydleni/kamenny-vrch-ii/ | https://cosedeje.brno.cz/w/maly-krok-pro-projekt-velky-krok-pro-obecni-druzstevni-bydleni-v-cesku-brno-podepsalo-smlouvu-se-zhotovitelem-353-bytu-na-kamennem-vrchu | https://cosedeje.brno.cz/w/uver-od-banky-schvalen-finance-na-vystavbu-prvniho-brnenskeho-druzstevniho-bydleni-poskytne-csob
bydleni_pristup,Přístup k obecním bytům a byty pro singles,Zavedené nástroje; kvantitativní stavební sliby neuzavřeny,2026-01-01,"Město zavedlo startovací byty pro jednotlivce a od ledna 2026 společný formulář pro žádosti o běžné obecní byty. Formulář usnadňuje podání, nevytváří automatický nárok na byt ani jednotné pořadí ve všech městských částech. Tisková zpráva uvádí k závěru roku 2024 celkem 28 332 městských bytů, z toho 1 209 spravovaných na magistrátní úrovni. Nabídky uvolněných bytů nejsou dokladem nové výstavby; splnění počtu 40 nových startovacích a 150 obecních bytů vyžaduje samostatný soupis zahájených staveb bez duplicit.",Karin Podivinská Karasová,3.3;3.4;3.8,https://cosedeje.brno.cz/w/jeden-formular-pro-temer-30-000-bytu-mesto-zjednodusuje-pristup-k-obecnimu-bydleni | https://cosedeje.brno.cz/w/prihlaste-se-o-obecni-byt-vyzyva-mesto-mlade-lidi-do-40-let
uzemni_plan,Nový územní plán,Vydán a účinný; dílčí změny a přezkum pokračují,2025-01-31,"Zastupitelstvo nový plán vydalo 10. prosince 2024; účinnosti nabyl 31. ledna 2025. Ve veřejném hlasování jej podpořilo 54 zastupitelů, jeden se zdržel. Jde tedy o rozhodnutí s podporou napříč politickými tábory. Schválený plán otevírá pravidla rozvoje, není však sám postavenými byty či dopravou. Při analýze konkrétní parcely je nutné ověřit aktuální změny a soudní zásahy; původně vydaný soubor nemusí vystihovat dnešní právní stav každé plochy.",Ing. arch. Petr Bořecký; ZMB; Kancelář architekta města Brna,4.2,https://upmb.brno.cz/uzemni-plan-mesta-brna/vydany/
stavebni_predpisy,Brněnské stavební předpisy,Přijato v roce 2024,2024-07-01,Město přijalo vlastní stavební předpisy s účinností od 1. července 2024. To je doložený regulatorní výsledek období. Samotné přijetí předpisu neprokazuje zrychlení povolování či zlevnění bydlení; takový závěr by vyžadoval sledování výsledků a zohlednění přechodných pravidel.,Ing. arch. Petr Bořecký; RMB; Kancelář architekta města Brna,4.10,https://www.brno.cz/w/narizeni-4390
