osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
adam-zemek,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
adam-zemek,Z9/01,13,"Členy Kontrolního výboru Zastupitelstva města Brna byli zvoleni Mgr. et Mgr. Jana Nováková, Mgr. Adam Zemek, Vít Prýgl, Bc. Matěj Hollan, Bc. Jakub Hruška, Mgr. Michal Chládek a Jiří 13",0,36036d38da50510d
adam-zemek,Z9/04,36,"Mgr. Adam Zemek: Předmětem tohoto bodu je změna stanov, která přináší navýšení počtu členů představenstva společnosti STAREZ. A my si, v našem klubu, nemyslíme, že je to dobrý nápad, protože by to vedlo ke zvýšení nákladů společnosti bez jasného přínosu. Naopak, ve firmě STAREZ nás znepokojuje střet zájmů pana předsedy představenstva, Libora Zábranského, protože pan Zábranský figuruje jako majitel firmy KOMETA GROUP, kde je zároveň i členem představenstva, a přitom firma KOMETA GROUP si pronajímá od firmy STAREZ Halu Rondo. To znamená, že de facto pan Zábranský si pronajímá Halu Rondo sám sobě. Předpokládáme sice dobrou vůli, avšak tento stav zavdává obavu, zda je pan Zábranský schopen vykonávat funkci předsedy představenstva s náležitou loajalitou, o které pojednává například § 51 zákona o obchodních korporacích, a zda nevyužívá informace získané z titulu předsedy představenstva firmy STAREZ při obchodní činnosti vlastní firmy KOMETA GROUP, což ošetřuje § 255 trestního zákoníku. Vzhledem k uvedenému si tedy dovolujeme na to, jako zastupitelský klub Pirátů, upozornit, jako na ne zcela optimální situaci.",0,a43c0850f687c0a3
adam-zemek,Z9/02,52,"Mgr. Adam Zemek: A já bych chtěl, za náš klub, vyjádřit takový malý smutek, že nedojde k nějakému většímu navýšení výkonů pro příští rok. Nicméně vnímáme, že v době energetické krize to není příliš jednoduché najít další prostředky, ale rádi bychom si počkali na příští rok a doufáme, že pro rok 2024 se již nějaké větší navýšení objemu dopravy podaří.",0,9d9381375d84a343
adam-zemek,Z9/02,55,"Mgr. Adam Zemek: Já bych chtěl jenom možná technologicky, terminologicky vysvětlit, co to znamenají dopravně provozní standardy linek. Když je v případě, například linky 1, dopravně provozní standard, že ta linka funguje od 5 hod. do 23 hod., tak to znamená, že dopravní podnik garantuje, že od 5 do 23 hod. budou odjezdy z obou konečných této linky. Což ale z důvodů technických a provozních znamená, že třeba ty vozy z vozovny už musí vyjet o půl hodiny dřív, aby se na tu konečnou, která je na druhém konci města, dostaly. To znamená, todleto je důvod, proč v tom materiálu je uvedeno, že ty linky jsou v provozu od 5 hod., ale můžeme najít odjezdy, které například jedou už, v některých případech, ve 4:30. Takže to jenom technologicky, terminologicky. A ještě bych dodal, že pokud se najde vůle v budoucnu rozšiřovat objednávku ze strany města, tak já budu rozhodně pro, ale, bohužel, bohužel teďka jsme v energetické krizi, takže chápu, že ta možnost tady není. A jsem rád aspoň, že se podařilo tu objednávku zachovat, protože ta dotace města oproti minulému roku stoupla o stamiliony korun. A jsem rád, že tyto peníze město v rozpočtu našlo.",0,9d9381375d84a343
adam-zemek,Z9/05,83,"Mgr. Adam Zemek: Já bych chtěl poprosit pana radního Kratochvíla, pokud existuje nějaká analýza dopadů nového dopravního řešení v oblasti Bohunic a Starého Lískovce, jestli by bylo možné mi ji zaslat. To zaprvé. A zadruhé bych se chtěl zeptat, zda už je známé dopravní řešení, které bude realizováno po 1. 5., při otevření tunelu, tramvajového, v Žabovřeskách? Jestli to zůstane, to linkové vedení, tak, jak je v současné době, anebo jestli se vrátíme do linkového vedení v té době před touto výlukou?",0,855e8c7abe4c7621
adam-zemek,Z9/07,25,"Mgr. Adam Zemek: My určitě nemáme nic proti baseballu, anebo proti baseballovému klubu v Brně. Nicméně tato investice je poměrně vysoká a město Brno vlastní, nebo spravuje desítky sportovišť a určitě by se nabízelo spoustu dalších investic, například i do jiných sportovišť. A já bych se chtěl zeptat, na základě čeho byla vybrána zrovna tato investice a jak probíhal proces upřednostnění této investice oproti například jiným investicím, do jiných sportovišť?",0,736feb627c8ee927
adam-zemek,Z9/07,69,"JUDr. Markéta Vaňková, primátorka: Než dám prostor k diskusi, tak jenom konstatuji, že tento materiál projednala včerejší mimořádná Rada města Brna a podpořila variantu A, v rámci variant. A dále ještě upozorňuji, že máte k dispozici doplněnou důvodovou zprávu. A nyní pan zastupitel Zemek. Mgr. Adam Zemek: Já bych chtěl navrhnout, jestli by se nemohlo nejdříve hlasovat o variantě B, protože my máme za to, že developer, který vlastní pozemky v hodnotě stovek milionů až miliard, je velice silný partner a není potřeba, aby město tomuto developerovi takovýmto způsobem vycházelo vstříc, když není schopen dodržovat závazky, které plynou ze smlouvy, kterou uzavřel s městem Brnem.",0,736feb627c8ee927
adam-zemek,Z9/07,69,"Mgr. Adam Zemek: V tom případě dávám protinávrh usnesení, který je ve stejném znění, jako je to předložené usnesení, ale ve variantě B. Aby to bylo formálně správně. A ještě si dovolím zareagovat. Já jsem četl tu argumentaci, kterou developer poskytuje, oni tam uvádí, že nejsou schopni najít banku, která by jim poskytla tu bankovní záruku. Ale nám to připadá podezřelé, když developer, který chce opravdu vybudovat skoro novou čtvrť, nebo velký developerský projekt s opravdu, s hodnotou v řádech miliard korun a se ziskem v řádech miliard korun, tak že není schopný dostát tadytéto své podmínce, o které bezpochyby věděl, nebo měl vědět, když uzavíral smlouvu. Rozumím tomu, že ty smlouvy prochází nějakým vývojem a že se rada snaží na nich pracovat tak, aby byly pokud možno co nejvýhodnější a nejlepší pro město Brno. Nicméně my si myslíme, že pokud je smlouva uzavřená, tak by, obzvlášť takto silný developer, měl dostát svým závazkům a město by mu nemělo takto zbytečně uhýbat. A nemělo by mu povolit vyplatit se ze závazku, který on, buď nechce, anebo není schopen, splnit.",2,736feb627c8ee927
adam-zemek,Z9/06,62,"Mgr. Adam Zemek Už to tady sice dneska padlo, ale já bych Vám rád odcitoval část Vaší koaliční smlouvy: „Ukončíme privatizaci bytových domů, další bytové domy již do privatizace nebudou zařazovány.“ Tak bych se chtěl zeptat, proč předkládáte tento bod, který směřuje k privatizaci bytového domu?",0,e715158e17e939ea
adam-zemek,Z9/06,63,"Mgr. Adam Zemek: A já bych tady tedy, v rámci toho jazykového, nebo technického okénka, odcitoval tedy definici slova privatizace, jakej můžete najít na Wikipedii: „Privatizace označuje změnu veřejného vlastnictví na soukromé. Zpravidla se tohoto pojmu používá pro převod veřejného majetku do soukromého vlastnictví.“ To znamená, že podle tadytéto definice, je toto privatizace. A samozřejmě se můžeme bavit o tom, jakým způsobem se ten, se ten způsob vlastnictví, veřejný, převede do toho soukromého, jestli je to dražba, nebo nabídnutí těch bytových jednotek nájemníkům, nicméně, řekněme si na rovinu, toto je privatizace. V koaliční smlouvě je, že se privatizovat nebude, evidentně se tedy privatizovat bude. A samozřejmě o tom, jaká je ekonomika toho městského bydlení, můžeme vést dlouhé diskuse. Můžeme říkat, že nemáme peníze na opravu bytů, nebo domů, ale je to čistě politické rozhodnutí. Pokud město má vykonávat nějakou bytovou politiku, tak ty byty, nebo domy prostě potřebuje. A tadytoto usnesení, nebo tento návrh, jde opačným směrem.",2,e715158e17e939ea
adam-zemek,Z9/06,66,Mgr. Adam Zemek – požádal o samostatné hlasování o bodu 73).,2,e715158e17e939ea
adam-zemek,Z9/08,16,Mgr. Adam Zemek navrhl jmenovat do funkce člena dozorčí rady Mgr. Marka Lahodu.,2,1b7d3b44f9e1e083
adam-zemek,Z9/10,24,"Mgr. Adam Zemek: Já bych chtěl poprosit o tom, o to, aby se hlasovalo nejdříve o variantě D), to znamená nezvyšovat dotaci na festival IGNIS BRUNENSIS.",0,eb0d7acd8a1bcc62
adam-zemek,Z9/10,25,"Mgr. Adam Zemek: Já jenom upřesním, že to moje usnesení reflektuje tu variantu D) z důvodové zprávy a že zastupitelstvo tedy neschvaluje navýšení investiční dotace, neinvestiční dotace pro firmu SNIP & CO.",0,eb0d7acd8a1bcc62
adam-zemek,Z9/10,59,"Mgr. Adam Zemek: Ano? Souhlasím s Vaším výkladem, paní primátorko, tím pádem stahujeme návrh na toto usnesení.",2,eb0d7acd8a1bcc62
adam-zemek,Z9/12,1,"JUDr. Markéta Vaňková, primátorka, informovala, že dne 13. 11. 2023 Mgr. Marek Lahoda rezignoval na funkci předsedy klubu zastupitelů Pirátů a novým předsedou byl ustaven Mgr. Adam Zemek.",0,36a4e03789f899b5
adam-zemek,Z9/12,1,"Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Ing. Pavel Kříž, Ph.D., JUDr. Robert Kerndl a Mgr. Adam Zemek.",0,36a4e03789f899b5
adam-zemek,Z9/14,13,"Mgr. Adam Zemek navrhl na funkci předsedkyně Výboru pro národnostní menšiny Zastupitelstva města Brna Mgr. Moniku Lukášovou Spilkovou, Ph.D. Jiné návrhy podány nebyly.",4,198b605f95c9e2a9
adam-zemek,Z9/14,36,Navržený kandidát Petr Bořecký (Lidovci a Starostové) vyslovil souhlas s kandidaturou a přednesl svůj kandidátský projev. Mgr. Adam Zemek vznesl dotaz v souvislosti s podáváním projektů do participativního rozpočtu činěné politiky a Petr Bořecký (Lidovci a Starostové) na dotaz krátce reagoval.,0,198b605f95c9e2a9
adam-zemek,Z9/14,67,"Mgr. Adam Zemek: Já bych jenom poprosil pana radního pro územní plán, Bořeckého, jestli by mi upřesnil, jakým způsobem v novém územním plánu bude řešena lokalita Řečkovického HRáje. Protože to je v podstatě pozemek pro výstavbu, ale v současné době je tam projekt participativního rozpočtu HRáj. Tak jakým způsobem se k tomu nový územní plán postaví?",0,198b605f95c9e2a9
adam-zemek,Z9/16,9,"Mgr. Adam Zemek: Já bych chtěl poděkovat, že město Brno se tadytímto způsobem angažuje a snaží se podpořit některá města, která jsou na Ukrajině, která čelí už víc jak 2 roky agresi ruského, řekněme, impéria. A rád bych tady odpověděl na to, co má město Lvov společného s Brnem. Tak, můžeme třeba říct, že město Lvov je univerzitní město. Město Lvov provozuje tramvaje a mimo jiné zde jezdí české tramvaje. Takže třeba toto máme společného. Je to velice kulturní město. Jsou zde divadla, je zde velké množství historických památek, takže panu zastupiteli Skřičkovi určitě doporučuju Lvov navštívit a potkat se s místními představiteli. Já jsem ve Lvově mnohokrát byl, je to opravdu krásné město a je naší povinností, jako České republiky, potažmo Brna, se nějakým způsobem angažovat v podpoře Ukrajiny. A například i Lvova.",0,d527a00c9a941791
